CURRENTLEVEL;ISINKYEDIBLE;ISBLINKYEDIBLE;ISSUEEDIBLE;ISPINKYEDIBLE;BLINKYDIST;INKYDIST;PINKYDIST;SUEDIST;PACMANPOSITION;CURRENTSCORE;DIRECTIONCHOSEN;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;NONE;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;HIGH;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;DOWN;
0;false;false;false;false;HIGH;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;HIGH;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;HIGH;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;HIGH;NONE;NONE;NONE;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;HIGH;NONE;HIGH;NONE;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;MEDIUM;NONE;HIGH;NONE;VERY_HIGH;VERY_LOW;RIGHT;
0;false;false;false;false;MEDIUM;NONE;HIGH;NONE;VERY_HIGH;VERY_LOW;LEFT;
0;false;false;false;false;MEDIUM;HIGH;HIGH;NONE;VERY_HIGH;VERY_LOW;UP;
0;false;false;false;false;MEDIUM;HIGH;HIGH;NONE;VERY_HIGH;VERY_LOW;RIGHT;
